Timestamp,Name / പേര്,Age / വയസ്സ്,Gender / ലിംഗം,District / ജില്ല,Occupation / തൊഴിൽ,Do you use social media daily? / ദിവസവും സമൂഹമാധ്യമം ഉപയോഗിക്കുന്നുണ്ടോ?,1. I feel calm and relaxed most days / എനിക്ക് മിക്ക ദിവസവും ശാന്തത അനുഭവപ്പെടുന്നു,2. I sleep well at night / എനിക്ക് രാത്രി നന്നായി ഉറങ്ങാൻ കഴിയുന്നു,3. I often feel tense for no clear reason / വ്യക്തമായ കാരണമില്ലാതെ പിരിമുറുക്കം തോന്നാറുണ്ട്,4. I enjoy my daily activities / ദൈനംദിന പ്രവർത്തനങ്ങൾ ഞാൻ ആസ്വദിക്കുന്നു,5. I feel hopeless about the future / ഭാവിയെക്കുറിച്ച് പ്രതീക്ഷയില്ലായ്മ തോന്നുന്നു,6. I check my phone within minutes of waking up / ഉണർന്ന ഉടനെ ഫോൺ പരിശോധിക്കുന്നു,7. Notifications interrupt my work / അറിയിപ്പുകൾ എന്റെ ജോലിയെ തടസ്സപ്പെടുത്തുന്നു,8. I can put my phone away whenever I choose to / വേണമെന്ന് തോന്നുമ്പോൾ ഫോൺ മാറ്റിവയ്ക്കാൻ കഴിയും,9. I feel anxious when my phone battery is low / ബാറ്ററി കുറയുമ്പോൾ ഉത്കണ്ഠ തോന്നുന്നു,Any other comments? / മറ്റ് അഭിപ്രായങ്ങൾ
2025-09-01 9:00:00,Anitha Raj,28,Female / സ്ത്രീ,Palakkad,Software Engineer,No / അല്ല,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,,Disagree / വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Some questions felt repetitive.
2025-09-02 10:07:00,Bineesh Kumar,18,Male / പുരുഷൻ,Kozhikode,Shopkeeper,No / അല്ല,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,The survey was easy to fill.
2025-09-03 11:14:00,Chandni Menon,39,Female / സ്ത്രീ,Palakkad,Student,No / അല്ല,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,No comments
2025-09-04 12:21:00,Deepak Nair,49,Male / പുരുഷൻ,Thrissur,Homemaker,Yes / അതെ,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,
2025-09-05 13:28:00,Elizabeth John,53,Female / സ്ത്രീ,Thrissur,Nurse,Yes / അതെ,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Neutral / നിഷ്പക്ഷം,Disagree / വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Disagree / വിയോജിക്കുന്നു,No comments
2025-09-06 14:35:00,Faisal Rahman,35,Male / പുരുഷൻ,Ernakulam,Teacher,No / അല്ല,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Please share the results with us.
2025-09-07 15:42:00,Gayathri Pillai,53,Male / പുരുഷൻ,Thrissur,Homemaker,Yes / അതെ,Neutral / നിഷ്പക്ഷം,Neutral / നിഷ്പക്ഷം,Neutral / നിഷ്പക്ഷം,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Agree / യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,കുറച്ചു ചോദ്യങ്ങൾ കൂടി വേണം
2025-09-08 16:49:00,Harish Varma,45,Female / സ്ത്രീ,Thrissur,Homemaker,Yes / അതെ,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Disagree / വിയോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,No comments
2025-09-09 9:56:00,Irene Thomas,33,Male / പുരുഷൻ,Thrissur,Shopkeeper,Yes / അതെ,Disagree / വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Neutral / നിഷ്പക്ഷം,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,No comments
2025-09-10 10:03:00,Jithin Joseph,33,Male / പുരുഷൻ,Kollam,Student,No / അല്ല,Agree / യോജിക്കുന്നു,Agree / യോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Neutral / നിഷ്പക്ഷം,Agree / യോജിക്കുന്നു,Strongly Disagree / പൂർണ്ണമായും വിയോജിക്കുന്നു,Disagree / വിയോജിക്കുന്നു,Strongly Agree / പൂർണ്ണമായും യോജിക്കുന്നു,Some questions felt repetitive.
